Name,Team,Minutes Played,PER
b'Joe Harris',b'BRK',b'1946',b'12.7'
b'Tobias Harris',b'PHI',b'2243',b'16.8'
b'Shaquille Harrison',b'CHI',b'484',b'17.8'
b'Josh Hart',b'NOP',b'1563',b'11.7'

b'Isaiah Hartenstein',b'HOU',b'266',b'18.7'
b'Udonis Haslem',b'MIA',b'21',b'3.0'
b'Jaxson Hayes',b'NOP',b'951',b'17.8'
b'Gordon Hayward',b'BOS',b'1501',b'18.2'
b'John Henson',b'TOT',b'600',b'17.0'
b'John Henson',b'CLE',b'412',b'16.9'
b'John Henson',b'DET',b'188',b'17.1'
b'Dewan Hernandez',b'TOR',b'11',b'4.2'
b'Juan Hernang\xc3\xb3mez',b'TOT',b'833',b'10.4'
b'Juan Hernang\xc3\xb3mez',b'DEN',b'422',b'6.9'
b'Juan Hernang\xc3\xb3mez',b'MIN',b'411',b'14.1'
b'Willy Hernang\xc3\xb3mez',b'CHO',b'375',b'19.2'
b'Tyler Herro',b'MIA',b'1280',b'11.4'
b'Kevin Hervey',b'OKC',b'19',b'-14.9'
b'Mario Hezonja',b'POR',b'767',b'9.5'
b'Buddy Hield',b'SAC',b'2045',b'16.3'
b'George Hill',b'MIL',b'1103',b'17.5'
b'Solomon Hill',b'TOT',b'992',b'9.8'
b'Solomon Hill',b'MEM',b'901',b'10.2'
b'Solomon Hill',b'MIA',b'91',b'5.9'
b'Jaylen Hoard',b'POR',b'103',b'14.9'
b'Aaron Holiday',b'IND',b'1368',b'11.7'
b'Jrue Holiday',b'NOP',b'1922',b'17.5'
b'Justin Holiday',b'IND',b'1617',b'12.7'
b'Rondae Hollis-Jefferson',b'TOR',b'998',b'15.5'
b'Richaun Holmes',b'SAC',b'1125',b'20.5'

b'Rodney Hood',b'POR',b'619',b'12.2'
b'Al Horford',b'PHI',b'1848',b'15.6'
b'Talen Horton-Tucker',b'LAL',b'5',b'14.8'
b'Danuel House',b'HOU',b'1739',b'11.4'
b'Dwight Howard',b'LAL',b'1193',b'18.7'
b'William Howard',b'HOU',b'13',b'-12.7'
b'Kevin Huerter',b'ATL',b'1760',b'11.5'
"b""De'Andre Hunter""",b'ATL',b'2018',b'8.6'
b'Chandler Hutchison',b'CHI',b'527',b'12.4'
b'Serge Ibaka',b'TOR',b'1377',b'18.0'
b'Andre Iguodala',b'MIA',b'259',b'11.0'
b'Ersan \xc4\xb0lyasova',b'MIL',b'895',b'15.2'
b'Joe Ingles',b'UTA',b'1916',b'12.5'
b'Brandon Ingram',b'NOP',b'1919',b'19.2'
b'Kyrie Irving',b'BRK',b'658',b'26.3'
b'Jonathan Isaac',b'ORL',b'949',b'16.9'
b'Wesley Iwundu',b'ORL',b'810',b'9.9'
b'Frank Jackson',b'NOP',b'656',b'7.7'
b'Jaren Jackson Jr.',b'MEM',b'1512',b'16.1'
b'Josh Jackson',b'MEM',b'357',b'14.0'

b'Justin Jackson',b'DAL',b'929',b'10.0'
b'Reggie Jackson',b'TOT',b'556',b'15.0'
b'Reggie Jackson',b'DET',b'381',b'14.8'
b'Reggie Jackson',b'LAC',b'175',b'15.6'
b'Justin James',b'SAC',b'218',b'11.5'
b'LeBron James',b'LAL',b'2094',b'26.0'
b'Amile Jefferson',b'ORL',b'74',b'8.9'
b'DaQuan Jeffries',b'SAC',b'19',b'10.7'
b'Ty Jerome',b'PHO',b'315',b'8.1'
b'Alize Johnson',b'IND',b'54',b'10.8'
b'B.J. Johnson',b'ORL',b'46',b'2.5'
b'Cameron Johnson',b'PHO',b'996',b'12.2'
b'James Johnson',b'TOT',b'619',b'14.8'
b'James Johnson',b'MIA',b'281',b'11.1'
b'James Johnson',b'MIN',b'338',b'17.9'
b'Keldon Johnson',b'SAS',b'92',b'16.6'
b'Stanley Johnson',b'TOR',b'96',b'3.1'
b'Tyler Johnson',b'PHO',b'515',b'8.1'
b'Nikola Joki\xc4\x87',b'DEN',b'2101',b'25.0'
b'Damian Jones',b'ATL',b'887',b'15.5'
b'Derrick Jones Jr.',b'MIA',b'1249',b'14.8'
b'Tyus Jones',b'MEM',b'1232',b'15.7'
b'DeAndre Jordan',b'BRK',b'1234',b'20.0'
b'Cory Joseph',b'SAC',b'1538',b'10.3'

b'Mfiondu Kabengele',b'LAC',b'64',b'18.2'
b'Frank Kaminsky',b'PHO',b'718',b'14.5'
b'Enes Kanter',b'BOS',b'891',b'22.0'
b'Luke Kennard',b'DET',b'922',b'14.4'
b'Stanton Kidd',b'UTA',b'15',b'-13.7'
b'Michael Kidd-Gilchrist',b'TOT',b'231',b'4.2'
b'Michael Kidd-Gilchrist',b'CHO',b'160',b'6.1'
b'Michael Kidd-Gilchrist',b'DAL',b'71',b'-0.1'
b'Louis King',b'DET',b'62',b'6.3'
b'Maxi Kleber',b'DAL',b'1695',b'13.8'
b'Brandon Knight',b'TOT',b'462',b'8.5'
b'Brandon Knight',b'CLE',b'241',b'5.5'
b'Brandon Knight',b'DET',b'221',b'11.9'
b'Kevin Knox',b'NYK',b'1166',b'8.4'
b'John Konchar',b'MEM',b'167',b'19.0'
b'Furkan Korkmaz',b'PHI',b'1398',b'11.7'
b'Luke Kornet',b'CHI',b'559',b'12.7'
b'Kyle Korver',b'MIL',b'833',b'11.2'
b'Rodions Kurucs',b'BRK',b'501',b'8.4'
b'Kyle Kuzma',b'LAL',b'1327',b'11.6'
b'Skal Labissi\xc3\xa8re',b'POR',b'567',b'15.4'
b'Jeremy Lamb',b'IND',b'1291',b'14.1'
b'Romeo Langford',b'BOS',b'298',b'6.0'
b'Zach LaVine',b'CHI',b'2085',b'19.5'

b'Vic Law',b'ORL',b'9',b'-16.6'
b'Jake Layman',b'MIN',b'505',b'10.3'
b'T.J. Leaf',b'IND',b'193',b'13.8'
b'Jalen Lecque',b'PHO',b'26',b'5.0'
b'Courtney Lee',b'DAL',b'345',b'10.9'
b'Damion Lee',b'GSW',b'1423',b'12.7'
b'Alex Len',b'TOT',b'895',b'18.0'
b'Alex Len',b'ATL',b'745',b'17.5'
b'Alex Len',b'SAC',b'150',b'20.3'
b'Kawhi Leonard',b'LAC',b'1643',b'26.7'
b'Meyers Leonard',b'MIA',b'987',b'11.1'
b'Caris LeVert',b'BRK',b'1131',b'15.1'
b'Damian Lillard',b'POR',b'2140',b'26.2'
b'Nassir Little',b'POR',b'573',b'9.7'
b'Kevon Looney',b'GSW',b'262',b'9.4'
b'Brook Lopez',b'MIL',b'1622',b'14.0'
b'Robin Lopez',b'MIL',b'862',b'11.1'
b'Kevin Love',b'CLE',b'1780',b'17.9'
b'Kyle Lowry',b'TOR',b'1901',b'17.9'
b'Timoth\xc3\xa9 Luwawu-Cabarrot',b'BRK',b'671',b'8.9'
b'Trey Lyles',b'SAS',b'1271',b'12.7'
b'Daryl Macon',b'MIA',b'14',b'-3.1'

b'J.P. Macura',b'CLE',b'1',b'0.0'
b'Josh Magette',b'ORL',b'38',b'5.1'
b'Ian Mahinmi',b'WAS',b'808',b'14.1'
b'Thon Maker',b'DET',b'776',b'13.7'
b'Terance Mann',b'LAC',b'271',b'7.1'
b'Boban Marjanovi\xc4\x87',b'DAL',b'337',b'24.5'
b'Lauri Markkanen',b'CHI',b'1492',b'14.3'
b'Caleb Martin',b'CHO',b'317',b'12.0'
b'Cody Martin',b'CHO',b'903',b'10.5'
b'Jeremiah Martin',b'BRK',b'16',b'5.9'
b'Kelan Martin',b'MIN',b'495',b'9.2'
b'Frank Mason III',b'MIL',b'53',b'4.2'
b'Garrison Mathews',b'WAS',b'227',b'13.1'
b'Wesley Matthews',b'MIL',b'1529',b'8.4'
b'Patrick McCaw',b'TOR',b'908',b'7.3'
b'CJ McCollum',b'POR',b'2229',b'17.4'
b'T.J. McConnell',b'IND',b'1188',b'16.2'
b'Jalen McDaniels',b'CHO',b'293',b'10.7'
b'Doug McDermott',b'IND',b'1242',b'14.3'
b'JaVale McGee',b'LAL',b'1023',b'20.0'

b'Rodney McGruder',b'LAC',b'749',b'6.5'
b'Alfonzo McKinnie',b'CLE',b'593',b'8.7'
b'Jordan McLaughlin',b'MIN',b'590',b'16.3'
b'Ben McLemore',b'HOU',b'1437',b'11.7'
b'Jordan McRae',b'TOT',b'784',b'14.2'
b'Jordan McRae',b'WAS',b'654',b'15.2'
b'Jordan McRae',b'DEN',b'32',b'16.7'
b'Jordan McRae',b'DET',b'98',b'6.5'
b'Nicol\xc3\xb2 Melli',b'NOP',b'889',b'12.3'
"b""De'Anthony Melton""",b'MEM',b'1011',b'14.6'
b'Chimezie Metu',b'SAS',b'73',b'25.4'
b'Khris Middleton',b'MIL',b'1653',b'21.4'
b'Eric Mika',b'SAC',b'19',b'14.0'
b'C.J. Miles',b'WAS',b'161',b'11.0'
b'Malcolm Miller',b'TOR',b'125',b'4.7'
b'Patty Mills',b'SAS',b'1430',b'14.7'
b'Paul Millsap',b'DEN',b'1075',b'17.7'
b'Shake Milton',b'PHI',b'611',b'15.2'
b'Donovan Mitchell',b'UTA',b'2165',b'19.1'
b'Naz Mitrou-Long',b'IND',b'43',b'10.1'
b'Adam Mokoka',b'CHI',b'112',b'8.2'
b'Malik Monk',b'CHO',b'1169',b'12.7'
b'Matt Mooney',b'CLE',b'19',b'8.1'

"b""E'Twaun Moore""",b'NOP',b'958',b'11.1'
b'Ja Morant',b'MEM',b'1771',b'18.0'
b'Juwan Morgan',b'UTA',b'74',b'8.8'
b'Marcus Morris',b'TOT',b'1727',b'14.8'
b'Marcus Morris',b'NYK',b'1387',b'16.5'
b'Marcus Morris',b'LAC',b'340',b'7.7'
b'Markieff Morris',b'TOT',b'1106',b'12.4'
b'Markieff Morris',b'DET',b'988',b'12.7'
b'Markieff Morris',b'LAL',b'118',b'9.8'
b'Monte Morris',b'DEN',b'1402',b'14.9'
b'Johnathan Motley',b'LAC',b'41',b'28.4'
b'Emmanuel Mudiay',b'UTA',b'752',b'13.7'
b'Mychal Mulder',b'GSW',b'204',b'7.8'
b'Dejounte Murray',b'SAS',b'1447',b'17.1'
b'Jamal Murray',b'DEN',b'1804',b'17.5'
b'D\xc5\xbeanan Musa',b'BRK',b'404',b'8.4'
b'Mike Muscala',b'OKC',b'492',b'12.2'
b'Sviatoslav Mykhailiuk',b'DET',b'1265',b'11.2'
b'Abdel Nader',b'OKC',b'756',b'11.2'
b'Larry Nance Jr.',b'CLE',b'1472',b'17.3'
b'Shabazz Napier',b'TOT',b'1234',b'14.5'
b'Shabazz Napier',b'MIN',b'856',b'13.9'
b'Shabazz Napier',b'WAS',b'378',b'15.7'
b'Raul Neto',b'PHI',b'565',b'11.5'
b'Malik Newman',b'CLE',b'4',b'-11.3'
b'Georges Niang',b'UTA',b'772',b'12.4'

b'Nerlens Noel',b'OKC',b'1014',b'21.7'
b'Zach Norvell',b'TOT',b'41',b'2.6'
b'Zach Norvell',b'LAL',b'5',b'-5.6'
b'Zach Norvell',b'GSW',b'36',b'3.7'
b'Jaylen Nowell',b'MIN',b'151',b'10.5'
b'Frank Ntilikina',b'NYK',b'1187',b'9.8'
b'Kendrick Nunn',b'MIA',b'1846',b'13.5'
b'David Nwaba',b'BRK',b'268',b'14.0'
"b""Royce O'Neale""",b'UTA',b'1862',b'9.3'
"b""Kyle O'Quinn""",b'PHI',b'258',b'18.1'
b'Semi Ojeleye',b'BOS',b'891',b'7.6'
b'Jahlil Okafor',b'NOP',b'424',b'17.8'
b'Elie Okobo',b'PHO',b'707',b'10.5'
b'Josh Okogie',b'MIN',b'1547',b'11.5'
b'KZ Okpala',b'MIA',b'26',b'13.7'
b'Victor Oladipo',b'IND',b'337',b'12.0'
b'Kelly Olynyk',b'MIA',b'1089',b'14.7'
b'Miye Oni',b'UTA',b'11',b'-9.9'
b'Cedi Osman',b'CLE',b'1910',b'10.7'
b'Kelly Oubre Jr.',b'PHO',b'1933',b'14.9'
b'Tariq Owens',b'PHO',b'15',b'8.4'
b'Jeremy Pargo',b'GSW',b'44',b'12.7'

b'Jabari Parker',b'TOT',b'852',b'17.0'
b'Jabari Parker',b'ATL',b'837',b'17.2'
b'Jabari Parker',b'SAC',b'15',b'4.0'
b'Chandler Parsons',b'ATL',b'54',b'5.6'
b'Eric Paschall',b'GSW',b'1654',b'14.5'
b'An\xc5\xbeejs Pase\xc4\x8d\xc5\x86iks',b'WAS',b'405',b'11.6'
b'Patrick Patterson',b'LAC',b'607',b'11.7'
b'Justin Patton',b'OKC',b'24',b'4.7'
b'Chris Paul',b'OKC',b'2003',b'21.7'
b'Elfrid Payton',b'NYK',b'1246',b'16.0'
b'Gary Payton II',b'WAS',b'432',b'11.3'
b'Norvel Pelle',b'PHI',b'178',b'11.2'
b'Theo Pinson',b'BRK',b'365',b'5.2'
b'Mason Plumlee',b'DEN',b'900',b'19.1'
b'Jakob Poeltl',b'SAS',b'965',b'19.6'
b'Vincent Poirier',b'BOS',b'114',b'12.8'
b'Shamorie Ponds',b'TOR',b'11',b'33.2'
b'Jordan Poole',b'GSW',b'1274',b'7.2'
b'Kevin Porter Jr.',b'CLE',b'1162',b'10.8'
b'Michael Porter Jr.',b'DEN',b'670',b'18.5'
b'Otto Porter',b'CHI',b'331',b'15.8'
b'Bobby Portis',b'NYK',b'1393',b'14.6'

b'Kristaps Porzi\xc5\x86\xc4\xa3is',b'DAL',b'1597',b'19.3'
b'Dwight Powell',b'DAL',b'1061',b'16.0'
