,Name,Team,Minutes Played,PER
276,Juan Hernangómez,MIN,411,14.1
277,Willy Hernangómez,CHO,375,19.2
278,Tyler Herro,MIA,1280,11.4
279,Kevin Hervey,OKC,19,-14.9
280,Mario Hezonja,POR,767,9.5
281,Buddy Hield,SAC,2045,16.3
282,George Hill,MIL,1103,17.5
283,Solomon Hill,TOT,992,9.8
284,Solomon Hill,MEM,901,10.2
285,Solomon Hill,MIA,91,5.9
286,Jaylen Hoard,POR,103,14.9
287,Aaron Holiday,IND,1368,11.7
288,Jrue Holiday,NOP,1922,17.5
289,Justin Holiday,IND,1617,12.7
290,Rondae Hollis-Jefferson,TOR,998,15.5
291,Richaun Holmes,SAC,1125,20.5
292,,,,
293,Rodney Hood,POR,619,12.2
294,Al Horford,PHI,1848,15.6
295,Talen Horton-Tucker,LAL,5,14.8
296,Danuel House,HOU,1739,11.4
297,Dwight Howard,LAL,1193,18.7
298,William Howard,HOU,13,-12.7
299,Kevin Huerter,ATL,1760,11.5
300,De'Andre Hunter,ATL,2018,8.6
301,Chandler Hutchison,CHI,527,12.4
302,Serge Ibaka,TOR,1377,18.0
303,Andre Iguodala,MIA,259,11.0
304,Ersan İlyasova,MIL,895,15.2
305,Joe Ingles,UTA,1916,12.5
306,Brandon Ingram,NOP,1919,19.2
307,Kyrie Irving,BRK,658,26.3
308,Jonathan Isaac,ORL,949,16.9
309,Wesley Iwundu,ORL,810,9.9
310,Frank Jackson,NOP,656,7.7
311,Jaren Jackson Jr.,MEM,1512,16.1
312,Josh Jackson,MEM,357,14.0
313,,,,
314,Justin Jackson,DAL,929,10.0
315,Reggie Jackson,TOT,556,15.0
316,Reggie Jackson,DET,381,14.8
317,Reggie Jackson,LAC,175,15.6
318,Justin James,SAC,218,11.5
319,LeBron James,LAL,2094,26.0
320,Amile Jefferson,ORL,74,8.9
321,DaQuan Jeffries,SAC,19,10.7
322,Ty Jerome,PHO,315,8.1
323,Alize Johnson,IND,54,10.8
324,B.J. Johnson,ORL,46,2.5
325,Cameron Johnson,PHO,996,12.2
326,James Johnson,TOT,619,14.8
327,James Johnson,MIA,281,11.1
328,James Johnson,MIN,338,17.9
329,Keldon Johnson,SAS,92,16.6
330,Stanley Johnson,TOR,96,3.1
331,Tyler Johnson,PHO,515,8.1
332,Nikola Jokić,DEN,2101,25.0
333,Damian Jones,ATL,887,15.5
334,Derrick Jones Jr.,MIA,1249,14.8
335,Tyus Jones,MEM,1232,15.7
336,DeAndre Jordan,BRK,1234,20.0
337,Cory Joseph,SAC,1538,10.3
338,,,,
339,Mfiondu Kabengele,LAC,64,18.2
340,Frank Kaminsky,PHO,718,14.5
341,Enes Kanter,BOS,891,22.0
342,Luke Kennard,DET,922,14.4
343,Stanton Kidd,UTA,15,-13.7
344,Michael Kidd-Gilchrist,TOT,231,4.2
345,Michael Kidd-Gilchrist,CHO,160,6.1
346,Michael Kidd-Gilchrist,DAL,71,-0.1
347,Louis King,DET,62,6.3
348,Maxi Kleber,DAL,1695,13.8
349,Brandon Knight,TOT,462,8.5
350,Brandon Knight,CLE,241,5.5
351,Brandon Knight,DET,221,11.9
352,Kevin Knox,NYK,1166,8.4
353,John Konchar,MEM,167,19.0
354,Furkan Korkmaz,PHI,1398,11.7
355,Luke Kornet,CHI,559,12.7
356,Kyle Korver,MIL,833,11.2
357,Rodions Kurucs,BRK,501,8.4
358,Kyle Kuzma,LAL,1327,11.6
359,Skal Labissière,POR,567,15.4
360,Jeremy Lamb,IND,1291,14.1
361,Romeo Langford,BOS,298,6.0
362,Zach LaVine,CHI,2085,19.5
363,,,,
364,Vic Law,ORL,9,-16.6
365,Jake Layman,MIN,505,10.3
366,T.J. Leaf,IND,193,13.8
367,Jalen Lecque,PHO,26,5.0
368,Courtney Lee,DAL,345,10.9
369,Damion Lee,GSW,1423,12.7
370,Alex Len,TOT,895,18.0
371,Alex Len,ATL,745,17.5
372,Alex Len,SAC,150,20.3
373,Kawhi Leonard,LAC,1643,26.7
374,Meyers Leonard,MIA,987,11.1
375,Caris LeVert,BRK,1131,15.1
376,Damian Lillard,POR,2140,26.2
377,Nassir Little,POR,573,9.7
378,Kevon Looney,GSW,262,9.4
379,Brook Lopez,MIL,1622,14.0
380,Robin Lopez,MIL,862,11.1
381,Kevin Love,CLE,1780,17.9
382,Kyle Lowry,TOR,1901,17.9
383,Timothé Luwawu-Cabarrot,BRK,671,8.9
384,Trey Lyles,SAS,1271,12.7
