player,mp,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Clint Capela,1551,0,0,362,563,94,177,178,348,63,34,79,87,179,818
DeMarre Carroll,1882,109,320,111,230,89,117,63,212,74,81,27,54,143,638
Vince Carter,1799,112,296,81,194,88,115,36,191,133,60,36,50,163,586
Michael Carter-Williams,846,15,64,97,242,58,77,24,129,113,38,23,66,102,297
Omri Casspi,643,15,43,62,121,17,29,27,85,37,23,3,29,50,186
Willie Cauley-Stein,1421,0,2,255,479,101,151,85,254,80,53,44,69,147,611
Tyson Chandler,1298,0,0,153,228,91,124,153,386,30,33,24,65,126,397
Wilson Chandler,2197,110,326,323,613,141,194,103,357,141,51,30,114,172,1117
Marquese Chriss,1743,72,224,212,408,113,181,96,252,60,67,70,108,263,753
Rakeem Christmas,219,0,0,19,43,21,29,26,30,4,3,6,8,37,59
Semaj Christon,973,12,63,65,160,17,31,19,68,130,28,7,43,79,183
Ian Clark,1137,61,163,150,270,44,58,22,99,90,39,8,55,77,527
Jordan Clarkson,2397,117,356,360,715,134,168,49,197,213,88,8,164,150,1205
Norris Cole,125,3,13,13,39,8,10,0,11,14,8,0,7,18,43
Darren Collison,2063,73,175,267,539,147,171,23,129,312,67,9,114,119,900
Nick Collison,128,0,1,14,22,5,8,9,22,12,2,2,4,17,33
Mike Conley,2292,171,419,293,590,316,368,31,210,433,92,19,156,126,1415
Pat Connaughton,316,17,33,20,39,7,9,10,42,28,6,2,17,23,98
Quinn Cook,188,11,26,22,40,2,5,1,6,26,4,0,13,13,79
DeMarcus Cousins,2465,131,363,516,1069,517,670,152,642,332,100,93,269,278,1942
Robert Covington,2119,137,412,155,320,143,174,92,344,102,127,69,131,203,864
Allen Crabbe,2254,134,302,169,345,105,124,19,207,94,54,20,62,171,845
Jamal Crawford,2157,116,322,243,548,174,203,17,112,214,61,14,134,115,1008
Jordan Crawford,442,37,95,68,123,20,26,4,30,57,11,2,25,30,267
Jae Crowder,2335,157,394,176,326,176,217,48,367,155,73,23,80,161,999
Dante Cunningham,1649,71,181,103,178,16,27,56,221,37,39,28,28,100,435
Seth Curry,2029,137,322,201,381,85,100,25,154,189,79,7,92,126,898
Stephen Curry,2638,324,789,351,654,325,362,61,292,524,142,17,239,183,1999
Troy Daniels,1183,138,355,47,140,43,54,22,78,46,20,4,45,90,551
Anthony Davis,2708,40,134,730,1392,519,647,172,712,157,94,167,181,168,2099
Deyonta Davis,238,0,0,24,47,10,18,20,40,2,3,17,8,40,58
Ed Davis,789,0,0,75,142,50,81,96,148,26,15,22,37,137,200
Dewayne Dedmon,1330,0,0,161,259,65,93,129,367,44,37,61,61,180,387
Sam Dekker,1419,60,187,143,242,38,68,94,190,76,38,21,41,83,504
Malcolm Delaney,1248,26,110,119,278,75,93,10,113,193,39,1,95,112,391
Matthew Dellavedova,1986,79,215,129,319,82,96,24,123,357,53,0,133,153,577
Luol Deng,1486,51,165,113,259,46,63,63,232,74,48,20,43,61,425
DeMar DeRozan,2620,33,124,688,1421,545,647,70,316,290,78,13,180,134,2020
Cheick Diallo,199,0,0,36,76,15,21,23,50,4,4,7,7,17,87
Boris Diaw,1283,20,81,126,246,26,35,46,112,170,18,9,87,83,338
Gorgui Dieng,2653,16,43,316,618,136,167,188,459,158,88,95,107,254,816
Spencer Dinwiddie,1334,38,101,96,201,126,159,27,137,185,44,23,66,119,432
Toney Douglas,394,7,42,36,75,24,29,13,48,56,18,5,21,50,117
Goran Dragić,2459,117,289,417,835,298,377,62,217,423,89,13,212,199,1483
Andre Drummond,2409,2,7,481,904,137,355,345,770,90,124,89,152,237,1105
Jared Dudley,1362,77,203,80,143,43,65,31,194,121,42,16,73,154,434
Mike Dunleavy,841,53,134,40,86,36,45,18,97,50,15,7,28,67,275
Kris Dunn,1333,21,73,97,240,36,59,24,142,188,78,36,89,178,293
Kevin Durant,2070,117,312,434,714,336,384,39,474,300,66,99,138,117,1555
Jarell Eddie,62,4,16,2,3,8,9,1,6,0,1,0,1,1,24
Henry Ellenson,146,10,35,13,29,4,8,8,33,7,1,1,14,6,60
Wayne Ellington,1500,149,394,82,161,37,43,18,114,70,35,4,30,70,648
Monta Ellis,1998,43,135,204,422,93,128,19,185,236,78,27,135,149,630
Joel Embiid,786,36,98,164,331,191,244,61,182,66,27,76,117,112,627
James Ennis,1501,51,137,95,184,86,110,69,190,64,46,19,59,165,429
Tyler Ennis,588,27,70,63,138,21,25,9,36,86,25,2,45,58,228
Tyreke Evans,788,42,118,108,252,69,92,13,124,124,35,9,61,60,411
Dante Exum,1228,44,149,111,214,58,73,30,102,111,21,12,80,146,412
Kenneth Faried,1296,0,6,228,410,131,189,183,279,55,43,40,59,124,587
Jordan Farmar,35,4,9,0,3,0,0,1,2,9,2,0,3,1,12
Derrick Favors,1186,3,10,200,407,67,109,92,213,56,45,40,60,103,476
Kay Felder,386,7,22,55,136,35,49,3,38,58,18,7,30,38,166
Cristiano Felício,1040,0,0,128,221,60,93,124,187,40,25,17,33,110,316
Raymond Felton,1700,46,144,175,370,50,64,33,185,191,66,22,83,125,538
Yogi Ferrell,1197,68,176,92,218,74,89,20,91,172,42,9,70,90,462
Dorian Finney-Smith,1642,56,191,68,142,46,61,55,167,67,52,25,45,125,350
Bryn Forbes,285,17,53,19,46,5,6,2,21,23,1,0,11,20,94
Evan Fournier,2234,128,360,280,570,223,277,44,165,202,66,4,141,180,1167
Randy Foye,1284,67,203,51,122,54,63,9,146,135,35,9,80,99,357
Tim Frazier,1525,40,128,123,276,98,129,34,139,335,56,6,101,133,464
Channing Frye,1398,137,335,101,185,63,74,37,253,45,33,37,53,138,676
Danilo Gallinari,2134,126,324,209,426,349,387,39,286,135,40,15,82,93,1145
Langston Galloway,1495,120,308,87,237,51,64,27,129,93,46,6,46,96,585
Patricio Garino,43,0,5,0,2,0,0,1,6,0,0,0,3,4,0
Marc Gasol,2531,104,268,428,892,278,332,60,404,338,67,99,166,171,1446
Pau Gasol,1627,56,104,247,500,130,184,107,394,150,24,70,81,110,792
Rudy Gay,1013,42,113,159,329,118,138,35,155,83,44,26,74,79,562
Michael Gbinije,32,0,4,1,6,2,2,2,1,2,0,0,0,2,4
Alonzo Gee,89,0,3,3,11,5,9,4,11,6,5,1,4,14,11
Paul George,2689,195,496,427,852,336,374,58,434,251,119,27,220,206,1775
Marcus Georges-Hunt,48,1,2,1,5,9,10,1,8,3,1,0,2,5,14
Jonathan Gibson,231,15,45,20,50,21,29,1,21,26,8,0,21,21,106
Taj Gibson,1989,3,13,362,696,113,158,158,327,73,41,65,105,163,846
Manu Ginóbili,1291,89,227,82,212,86,107,28,129,183,82,16,96,119,517
Rudy Gobert,2744,0,1,413,624,311,476,314,721,97,49,214,147,246,1137
Archie Goodwin,214,5,15,31,51,33,42,7,21,24,4,5,14,8,110
Aaron Gordon,2298,77,267,316,598,156,217,116,289,150,65,40,89,172,1019
Eric Gordon,2323,246,661,166,355,147,175,29,172,188,48,41,121,150,1217
Marcin Gortat,2556,0,2,390,672,103,159,238,611,121,40,61,119,213,883
Treveon Graham,189,9,15,10,25,10,15,5,17,6,6,1,3,18,57
Jerami Grant,1531,43,116,109,212,90,147,38,167,46,33,79,44,149,437
Jerian Grant,1028,49,134,79,167,65,73,17,94,121,47,8,44,93,370
Danny Green,1807,118,311,58,138,27,32,31,193,124,70,57,76,120,497
Draymond Green,2471,81,263,191,387,151,213,98,501,533,154,106,184,217,776
Gerald Green,538,39,111,56,121,33,41,16,68,33,9,7,25,48,262
JaMychal Green,2101,55,145,195,355,134,167,167,377,84,47,34,94,248,689
Jeff Green,1534,53,193,167,365,145,168,39,175,81,37,13,75,103,638
Blake Griffin,2076,38,113,441,858,320,421,112,385,300,57,22,142,157,1316
Justin Hamilton,1177,55,180,119,199,39,52,71,191,55,29,43,43,91,442
A.J. Hammons,163,5,10,12,32,9,20,8,28,4,1,13,10,21,48
Tim Hardaway Jr.,2154,149,417,266,495,164,214,35,189,182,55,15,106,103,1143
James Harden,2947,262,756,412,777,746,881,95,564,907,121,38,464,215,2356
Maurice Harkless,2223,68,194,246,430,77,124,125,216,88,85,70,86,214,773
Justin Harper,31,2,7,3,5,0,0,2,3,2,0,0,4,2,12
Montrezl Harrell,1064,1,7,224,338,76,121,81,138,64,20,42,44,126,527
Devin Harris,1087,58,177,78,164,107,129,11,116,136,43,7,57,101,437
Gary Harris,1782,107,255,213,382,104,134,48,130,164,71,8,76,92,851
Joe Harris,1138,85,221,69,141,35,49,16,131,54,30,8,55,121,428
Manny Harris,25,0,2,3,13,2,4,3,6,2,0,0,2,1,8
Tobias Harris,2567,109,314,402,749,190,226,63,353,142,60,39,96,133,1321
Aaron Harrison,17,0,2,0,2,1,2,0,3,3,0,0,0,2,1
Andrew Harrison,1474,43,156,74,204,148,194,23,113,198,53,21,85,194,425
Udonis Haslem,130,0,3,11,20,9,15,8,28,6,6,1,8,22,31
Spencer Hawes,797,25,81,109,196,44,52,38,153,81,15,30,49,77,337
Gordon Hayward,2516,149,374,396,782,362,429,49,345,252,73,20,140,117,1601
Gerald Henderson,1667,61,173,173,380,133,165,34,151,112,40,15,62,129,662
John Henson,1123,0,1,159,308,74,107,92,203,57,29,78,52,151,392
Juan Hernangómez,842,46,113,55,111,57,76,43,144,29,30,12,31,62,305
Willy Hernangómez,1324,4,15,242,450,91,125,170,332,96,41,36,100,150,587
Mario Hezonja,960,43,144,74,186,40,50,20,126,62,30,15,58,74,317
Roy Hibbert,682,0,0,80,147,61,75,54,98,21,8,46,32,100,221
