player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Troy Brown Jr.,1614,247,545,53,155,94,123,67,276,159,78,6,68,120,641
Jalen Brunson,1022,181,388,43,120,61,75,22,112,188,22,4,66,74,466
Thomas Bryant,1000,209,351,29,67,73,100,82,209,78,17,38,49,92,520
Reggie Bullock,684,90,224,37,111,17,21,13,55,42,25,3,19,56,234
Trey Burke,371,72,149,24,50,14,20,15,21,60,10,1,13,24,182
Alec Burks,1634,287,706,104,277,225,251,43,222,174,58,17,89,123,903
Deonte Burton,284,39,105,10,46,6,12,6,42,11,5,10,14,28,94
Jimmy Butler,1915,338,742,29,117,426,509,102,268,343,97,31,122,78,1131
Bruno Caboclo,220,32,77,4,28,4,5,22,31,12,12,16,9,25,72
Kentavious Caldwell-Pope,1692,228,488,89,231,77,100,37,101,110,56,13,59,124,622
Vlatko Čančar,45,6,15,1,6,4,4,5,5,3,1,1,3,7,17
Clint Capela,1279,244,388,0,0,55,104,168,369,48,33,72,63,102,543
DeMarre Carroll,231,21,54,7,27,24,36,11,36,18,4,4,16,28,73
Jevon Carter,804,86,214,49,124,23,27,25,77,71,40,13,31,79,244
Vince Carter,876,107,304,61,202,23,29,18,106,48,23,25,33,90,298
Wendell Carter Jr.,1256,183,343,6,29,112,152,139,266,51,33,36,72,162,484
Michael Carter-Williams,825,110,257,22,74,78,94,46,100,107,49,22,51,87,320
Alex Caruso,1107,116,276,39,113,66,88,15,104,112,64,18,50,90,337
Willie Cauley-Stein,1097,175,302,0,1,40,66,84,231,70,49,61,40,121,390
Tyson Chandler,219,14,18,0,0,6,13,25,41,6,6,8,8,32,34
Wilson Chandler,734,74,183,37,121,20,23,11,134,39,16,12,34,79,205
Joe Chealey,33,0,7,0,4,2,2,0,0,1,4,0,2,2,2
Zylan Cheatham,31,2,5,0,1,0,0,1,5,2,0,1,3,5,4
Chris Chiozza,287,39,93,20,48,2,2,7,31,57,16,2,21,27,100
Marquese Chriss,1196,210,385,8,39,120,156,114,251,114,39,62,78,122,548
Gary Clark,440,40,105,30,90,8,9,29,60,17,5,15,7,33,118
Brandon Clarke,1168,270,433,21,56,80,102,83,227,76,28,45,48,90,641
Jordan Clarkson,1604,364,800,134,375,130,155,48,127,128,45,16,86,98,992
Nicolas Claxton,187,27,48,1,7,11,21,19,25,16,1,8,9,14,66
Chris Clemons,251,51,126,33,94,6,7,3,20,22,6,5,17,20,141
Antonius Cleveland,26,2,7,0,1,3,4,0,3,0,1,1,1,4,7
Amir Coffey,107,15,36,3,10,1,3,4,10,10,1,1,6,14,34
John Collins,1363,353,605,59,147,120,150,116,300,60,31,66,75,138,885
Zach Collins,151,15,31,4,10,6,6,8,18,11,2,2,7,20,40
Mike Conley,1269,215,528,86,232,107,131,28,110,194,33,5,84,97,623
Pat Connaughton,1119,119,261,44,137,27,36,56,203,95,20,30,47,60,309
Quinn Cook,412,76,173,25,66,6,9,7,34,41,11,1,26,23,183
Tyler Cook,35,7,10,0,0,5,6,4,6,1,1,0,1,4,19
Robert Covington,1946,289,674,152,442,92,114,57,358,77,101,85,94,203,822
Allen Crabbe,653,63,177,36,119,10,14,11,66,33,15,4,17,47,172
Torrey Craig,921,103,223,38,118,20,33,52,112,40,21,32,22,119,264
Jae Crowder,1758,206,531,120,369,95,121,49,317,155,69,21,64,131,627
Jarrett Culver,1506,230,569,66,221,54,117,70,142,110,57,38,81,125,580
Seth Curry,1505,272,547,139,309,78,95,26,116,121,38,9,61,107,761
Stephen Curry,139,33,82,12,49,26,26,4,22,33,5,2,16,11,104
Troy Daniels,486,65,169,42,119,10,16,12,36,15,9,3,9,33,182
Anthony Davis,1999,531,1048,72,210,423,498,128,415,183,86,138,140,148,1557
Ed Davis,268,14,34,0,0,5,11,29,66,8,10,9,13,55,33
Terence Davis,1104,182,394,89,223,45,52,46,175,107,33,12,67,104,498
Dewayne Dedmon,774,102,255,22,107,30,36,60,189,22,25,41,57,133,256
Matthew Dellavedova,821,62,175,21,91,32,37,18,57,180,20,2,59,78,177
DeMar DeRozan,2193,529,999,9,33,356,423,41,317,360,64,17,154,170,1423
